Metric / Metadata,0,1
model_id,DecisionTreeClassifier,RandomForestClassifier
task_id,[dataset=load_iris]_[cv_splitter=KFold],[dataset=load_iris]_[cv_splitter=KFold]
accuracy_score_fold_0_test,0.29333333333333333,0.32
accuracy_score_fold_1_test,0.3333333333333333,0.3333333333333333
accuracy_score_mean,0.31333333333333335,0.32666666666666666
accuracy_score_std,0.028284271247461888,0.009428090415820616
fit_time_fold_0_test,0.0013675499999408203,0.01604866699995
fit_time_fold_1_test,0.0010971039998821652,0.015646572999912678
fit_time_mean,0.0012323269999114927,0.01584761999993134
fit_time_std,0.0001912342005862524,0.000284323394100815
pred_time_fold_0_test,0.0001788580000265938,0.0013152479998552735
pred_time_fold_1_test,0.00012010599994027871,0.0009691820000625739
pred_time_mean,0.00014948199998343625,0.0011422149999589237
pred_time_std,4.154393766930603e-05,0.00024470561519152024
runtime_secs,0.001381808999894929,0.016989834999890263
accuracy_score_mean_rank,1,2
